Subject,Predicate,Object,graph,predicate_tmp,object_tmp,subject_tmp,Predicate_labels,Object_labels,Subject_labels
<https://w3id.org/traits.build#traits.build-database>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""traits.build database""@en",.,http://www.w3.org/2004/02/skos/core#prefLabel,traits.build database,traits.build-database,preferred label,traits.build database,traits.build database
<https://w3id.org/traits.build#traits.build-database>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""traits.build_database""@en",.,http://www.w3.org/2004/02/skos/core#altLabel,traits.build_database,traits.build-database,alternative label,traits.build_database,traits.build database
<https://w3id.org/traits.build#traits.build-database>,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000750>,.,http://semanticscience.org/resource/SIO_000602,http://semanticscience.org/resource/SIO_000750,traits.build-database,computational entity,database,traits.build database
<https://w3id.org/traits.build#traits.build-database>,<http://www.w3.org/2000/01/rdf-schema#label>,"""traits.build database""@en",.,http://www.w3.org/2000/01/rdf-schema#label,traits.build database,traits.build-database,label,traits.build database,traits.build database
<https://w3id.org/traits.build#traits.build-database>,<http://purl.org/dc/terms/description>,"""A database of 13 relational tables build using the {traits.build} R-package for harmonizing trait data.""@en",.,http://purl.org/dc/terms/description,A database of 13 relational tables build using the {traits.build} R-package for harmonizing trait data.,traits.build-database,description,A database of 13 relational tables build using the {traits.build} R-package for harmonizing trait data.,traits.build database
<https://w3id.org/traits.build#traits.build-database>,<http://purl.org/dc/terms/created>,"""01 February 2024""^^<xsd:date>",.,http://purl.org/dc/terms/created,01 February 2024,traits.build-database,created,01 February 2024,traits.build database
<https://w3id.org/traits.build#traits.build-database>,<http://www.w3.org/2004/02/skos/core#inScheme>,<https://w3id.org/traits.build>,.,http://www.w3.org/2004/02/skos/core#inScheme,https://w3id.org/traits.build,traits.build-database,is in scheme,traits.build,traits.build database
<https://w3id.org/traits.build#traits.build-traits>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""traits table""@en",.,http://www.w3.org/2004/02/skos/core#prefLabel,traits table,traits.build-traits,preferred label,traits table,traits table
<https://w3id.org/traits.build#traits.build-traits>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""traits""@en",.,http://www.w3.org/2004/02/skos/core#altLabel,traits,traits.build-traits,alternative label,traits,traits table
<https://w3id.org/traits.build#traits.build-traits>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://terminologies.gfbio.org/terms/ETS/Traitdata>,.,http://www.w3.org/2004/02/skos/core#exactMatch,http://terminologies.gfbio.org/terms/ETS/Traitdata,traits.build-traits,has exact match,Traitdata,traits table
<https://w3id.org/traits.build#traits.build-traits>,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000754>,.,http://semanticscience.org/resource/SIO_000602,http://semanticscience.org/resource/SIO_000754,traits.build-traits,computational entity,database table,traits table
