Class,prefLabel,altLabel,oboe-core:measurementFor,oboe-core:hasMeasurement,exactMatch,broader,computational_entity,closeMatch,relatedMatch,organizedInClass,hascontext,contextof,label,Cites,refers to,has unique identifier,is unique identifier for,has identifier,is identifier for,has annotation,is annotation of,has property,is property of,is specialisation of,is base for,has basis,oboe-core:characteristicFor,oboe-core:ofEntity,oboe-core:hasValue,dcterms:description,rdfs:comment,rdf:datatype,dcterms:created
traits.build-database,traits.build database,traits.build_database,,,,,SIO:SIO_000750,,,,,,,,,,,,,,,,,,,,,,,A database of 13 relational tables build using the {traits.build} R-package for harmonizing trait data.,,,1-Feb-24
traits.build-traits,traits table,traits,,,ets:Traitdata,,SIO:SIO_000754,,ets:MeasurementOrFact; ets:Occurrence,traits.build-database,,,,,,,,,,,,,,,,,,,,A table containing measurements of traits.,Includes information that must be recorded at the Measurement or Observation level.,,1-Feb-24
traits.build-contexts,contexts table,contexts,,,,,SIO:SIO_000754,,,traits.build-database,,,,,,,,,,,,,,,,,,,,"A table containing observations of contextual characteristics associated with information in `traits`. Cross referencing between the two dataframes is possible using combinations of the variables `dataset_id`, `link_id`, and `link_vals`.",,,1-Feb-24
traits.build-locations,locations table,locations,,,,,SIO:SIO_000754,,ets:Occurrence,traits.build-database,,,,,,,,,,,,,,,,,,,,"A table containing observations of location/site characteristics associated with information in `traits`. Cross referencing between the two dataframes is possible using combinations of the variables `dataset_id`, `location_name`.",Includes information about Location properties.,,1-Feb-24
traits.build-identifiers,identifiers,identifiers,,,,,SIO:SIO_000754,,,traits.build-database,,,,,,,,,,,,,,,,,,,,A table containing details on identifiers that cross-references observations between the two dataframes using combinations of the variables `dataset_id` and `observation_id`.,Includes information about specimen identifiers,,8-Jun-25
traits.build-methods,methods table,methods,,,,,SIO:SIO_000754,,ets:MeasurementOrFact,traits.build-database,,,,,,,,,,,,,,,,,,,,"A table containing details on methods with which data were collected, including time frame and source. Cross referencing with the `traits` table is possible using combinations of the variables `dataset_id`, `trait_name`.",,,1-Feb-24
traits.build-excluded_data,excluded data table,excluded_data,,,,,SIO:SIO_000754,,,traits.build-database,,,,,,,,,,,,,,,,,,,,"A table of data that did not pass quality tests and so were excluded from the master dataset. The structure is identical to that presented in the `traits` table, only with an extra column called `error` indicating why the record was excluded. Common reasons are missing_unit_conversions, missing_value, and unsupported_trait_value.",,,1-Feb-24
traits.build-taxonomic_updates,taxonomic updates table,taxonomic_updates,,,,,SIO:SIO_000754,,,traits.build-database,,,,,,,,,,,,,,,,,,,,"A table of all taxonomic changes implemented in the construction of AusTraits. Changes are determined by comparing the originally submitted taxon name against the taxonomic names listed in the taxonomic reference files, best placed in a subfolder in the `config` folder . Cross referencing with the `traits` table is possible using combinations of the variables `dataset_id` and `taxon_name`.",,,1-Feb-24
traits.build-taxa,taxa table,taxa,,,ets:Taxon,,SIO:SIO_000754,,,traits.build-database,,,,,,,,,,,,,,,,,,,,"A table containing details on taxa associated with information in `traits`. Whenever possible, this information is sourced from curated taxon lists that include identifiers for each taxon. The information compiled in this table is released under a CC-BY3 license. Cross referencing between the two dataframes is possible using combinations of the variable `taxon_name`.",,,1-Feb-24
traits.build-contributors,contributors table,contributors,,,,,SIO:SIO_000754,,,traits.build-database,,,,,,,,,,,,,,,,,,,,A table of people contributing to each study.,,,1-Feb-24
